subject,level,true_time,min_time,coco_count,rmi
48588,7,163.983154296875,539.61322021484375,268,0.1760370653440928
48588,2,97.55010986328125,703.597412109375,190,0.30649087622089977
48588,6,81.28253173828114,801.14727783203125,160,0.4637606941754341
48588,3,157.71759033203136,882.63031005859375,261,0.1798686028833978
48588,4,154.3499755859375,1040.14697265625,353,0.7161507028645956
48588,8,106.9820556640625,1194.4969482421875,209,0.5739419052353391
48588,9,158.218017578125,1301.4639892578125,363,0.6912275763121253
48593,6,100.21499252319336,54.55730056762695,229,0.3977506212156967
48593,9,192.47972106933594,154.88870239257813,311,0.27639843857689206
48593,8,116.88107299804688,347.3680114746094,210,0.5065098727359412
48593,10,177.84683227539063,464.25048828125,346,0.3515726685399372
48593,2,111.114990234375,642.08038330078125,212,0.4851892919611478
48593,5,176.88037109375,753.211181640625,347,0.26365474770265607
48593,3,148.19671630859375,930.09130859375,287,0.7466047716406364
48593,7,152.81396484375,1078.27197265625,277,0.49825881741015055
48593,4,176.080078125,1231.093017578125,277,0.33611859903619234
48595,5,149.96010208129883,62.50230026245117,346,0.2852637862513121
48595,7,130.54400634765625,212.56629943847656,271,0.4136033513591668
48595,3,139.27670288085938,343.10888671875,283,0.5467831953042718
48595,1,145.81021118164063,482.3835144042969,347,0.4699401183082862
48595,8,112.5946044921875,628.2100830078125,205,0.8353147384682067
48595,2,87.36279296874989,740.80450439453125,205,0.8469317696399405
48595,9,186.2912597656251,828.16741943359375,279,0.5546121484213258
48595,6,77.02996826171875,1014.4580078125,214,0.6134957127398607
48595,10,140.593994140625,1091.4930419921875,347,0.5551873038726279
48595,4,136.7930908203125,1232.08203125,254,0.6263507451468813
48598,7,149.65716552734375,46.670928955078125,320,0.26873913583553344
48598,8,116.46630859375,196.4441070556641,241,0.45039982933907385
48598,10,167.3662109375,312.91070556640625,348,0.2791470247558061
48598,5,154.74990844726563,480.2771911621094,347,0.26368955404617134
48598,2,123.982666015625,635.026123046875,270,0.23514228657639857
48598,9,158.5330810546875,758.9932250976564,339,0.33015050183089445
48598,1,159.6326904296875,917.5416259765624,347,0.32766346416325454
48598,6,114.0660400390625,1077.1590576171875,259,0.25742492884470825
48598,4,163.883056640625,1191.2249755859375,337,0.3387247113462888
48598,3,165.5,1355.125,340,0.29077920912373423
48601,4,234.90098571777344,62.84632873535156,296,0.18604570892658212
48601,3,207.1309814453125,297.8623046875,329,0.19843857396918874
48601,8,156.5159912109375,504.9953002929687,248,0.29957068683015
48601,10,206.9990234375,661.49432373046875,348,0.3739202106870253
48601,7,174.1317138671875,868.4932861328125,273,0.1638050344725559
48601,1,211.4990234375,1042.625,348,0.21030721272403075
48601,6,119.4329833984375,1254.1240234375,241,0.34654487495977837
48601,9,234.8819580078125,1373.5570068359375,299,0.2060714659738816
48601,2,151.33203125,1608.43896484375,269,0.18101698084384554
48601,5,191.4990234375,1759.77099609375,341,0.17052528335637573
48604,10,153.85427856445313,47.135528564453125,339,0.34832178285098514
48604,2,105.885986328125,201.10609436035156,203,0.4404014110658738
48604,7,125.65301513671875,306.9912109375,234,0.4119379712936586
48604,4,173.83721923828125,432.6449890136719,248,0.46667602286990273
48604,5,143.0198974609375,606.48272705078125,328,0.3755596778657062
48604,1,145.98638916015625,749.55450439453125,340,0.42649421186971725
48604,3,147.836669921875,895.4893188476564,233,0.6275012869897003
48604,8,100.4520263671875,1043.324951171875,203,0.7736070548107229
48604,9,133.5699462890625,1143.760986328125,283,0.544800936861936
48604,6,98.8350830078125,1277.3470458984375,226,0.44471210389118787
48607,6,87.4329605102539,66.96233367919922,196,0.43080942675988265
