subject,level,obj_ID,point_value,x,y,new_x,new_y,time
48496,10,9,2,15,15,15,15,1445.6510009765625
48496,10,13,2,17.5,12.5,17.5,12.5,1445.8089599609375
48496,10,10,2,20,15,20,15,1446.0350341796875
48496,10,6,2,17.5,17.5,17.5,17.5,1446.1920166015625
48496,10,3,2,15,20,15,20,1446.4759521484375
48496,10,5,2,12.5,17.5,12.5,17.5,1446.833984375
48496,10,2,2,10,20,10,20,1446.8759765625
48496,10,8,2,10,15,10,15,1447.1109619140625
48496,10,11,2,23.5,15,23.5,15,1448.2509765625
48496,10,4,2,20,20,20,20,1448.595947265625
48496,10,35,2,10,-1.5,10,-1.5,1450.7760009765625
48496,10,36,2,5,-5,5,-5,1451.2919921875
48496,10,42,2,5,-10,5,-10,1451.7760009765625
48496,10,46,2,7.5,-12.5,7.5,-12.5,1452.0350341796875
48496,10,49,2,10,-15,10,-15,1452.333984375
48496,10,50,2,15,-15,15,-15,1452.79296875
48496,10,47,2,12.5,-12.5,12.5,-12.5,1452.8509521484375
48496,10,44,2,15,-10,15,-10,1453.094970703125
48496,10,45,2,18.5,-10,18.5,-10,1453.2099609375
48496,10,43,2,10,-10,10,-10,1453.551025390625
48496,10,48,2,5,-15,5,-15,1454.1090087890625
48496,10,61,2,-5,-20,-5,-20,1455.35302734375
48496,10,60,2,-10,-20,-10,-20,1455.7550048828125
48496,10,59,2,-20,-20,-20,-20,1456.5970458984375
48496,10,46,2,7.5,-12.5,7.5,-12.5,1459.1090087890625
48496,10,48,2,5,-15,5,-15,1459.135009765625
48496,10,49,2,10,-15,10,-15,1459.3370361328125
48496,10,47,2,12.5,-12.5,12.5,-12.5,1459.5340576171875
48496,10,44,2,15,-10,15,-10,1459.7919921875
48496,10,40,2,12.5,-7.5,12.5,-7.5,1459.9339599609375
48496,10,37,2,10,-5,10,-5,1460.208984375
48496,10,39,2,7.5,-7.5,7.5,-7.5,1460.552001953125
48496,10,36,2,5,-5,5,-5,1460.6090087890625
48496,10,42,2,5,-10,5,-10,1460.833984375
48496,10,41,2,1.5,-10,1.5,-10,1461.009033203125
48496,10,45,2,18.5,-10,18.5,-10,1462.509033203125
48496,10,43,2,10,-10,10,-10,1463.3509521484375
48496,10,38,2,15,-5,15,-5,1464.009033203125
48496,10,49,2,10,-15,10,-15,1465.135009765625
48496,10,51,2,10,-18.5,10,-18.5,1465.426025390625
48496,10,48,2,5,-15,5,-15,1465.6519775390625
48496,10,41,2,1.5,-10,1.5,-10,1466.3759765625
48496,10,42,2,5,-10,5,-10,1466.574951171875
48496,10,40,2,12.5,-7.5,12.5,-7.5,1467.2679443359375
48496,10,37,2,10,-5,10,-5,1467.509033203125
48496,10,39,2,7.5,-7.5,7.5,-7.5,1467.9100341796875
48496,10,36,2,5,-5,5,-5,1467.9339599609375
48496,10,43,2,10,-10,10,-10,1468.5760498046875
