subject,level,total_time,total_distance,start_time,rmi
48527,2,88.60801696777347,1003.0536079521057,227.25929260253903,0.7938708189217423
48527,3,177.2269744873047,2042.532598262605,49.92433166503906,0.48980013252341104
48527,4,185.5887451171875,2055.8482643561456,928.63427734375,0.5441315794275012
48527,5,195.7659912109375,2270.8477249549014,555.0662841796875,0.613682484251629
48527,6,81.883026123046875,923.2036704245531,315.96728515625,0.7564368393782099
48527,7,136.39306640625,1563.5695832043427,1114.3289794921875,0.7145170148165519
48527,9,157.0050048828125,1798.0482823438902,397.9613037109375,0.7385803147448462
48527,10,177.5728759765626,1980.2997954718642,750.95941162109375,0.5451811503015485
48532,1,154.291015625,1641.3488548346006,1401.7440185546875,0.38408096283144055
48532,9,151.0565185546876,1676.198008971583,921.5684814453124,0.36112397714989597
48532,10,195.22900390625,1644.6000919710589,1206.4150390625,0.5276843573773494
48538,1,209.5996856689453,2236.0886549032107,61.43772888183594,0.2227833116835416
48538,2,174.9833984375,1775.1146651208505,616.1287841796875,0.24127098650356782
48538,3,189.3489990234375,2140.4999538949455,1202.3370361328125,0.1604813003294394
48538,4,227.623046875,2002.1819907204103,1683.6689453125,0.2506959018289866
48538,5,192.51654052734375,2164.6252931938106,791.22027587890625,0.1776403057957343
48538,6,100.4830322265625,1109.2741265597033,1391.7860107421875,0.33771493271531294
48538,7,172.04263305664063,1937.9934234588386,443.9779968261719,0.17650990489777718
48538,8,172.60260009765625,1875.8108317267586,271.2680969238281,0.25607311624391094
48538,9,191.1920166015625,2150.180592253924,1492.3690185546875,0.29192013908830927
48538,10,218.3909912109375,2318.9195345535913,983.844970703125,0.3385523886381371
48540,1,184.81634521484375,2111.4136533272363,530.498779296875,0.2601157189741612
48540,2,112.8499755859375,1276.284991268904,1226.3800048828125,0.45392742286225285
48540,3,156.7830810546875,1785.1407901991313,1069.48095703125,0.4077334187068278
48540,4,186.5,2153.8183347004815,1339.3299560546875,0.28417284019562183
48540,5,159.94986724853518,1821.2963494612213,68.36663055419922,0.21108952133830927
48540,6,96.2999267578125,1088.079301601993,434.0823974609375,0.39088736573953775
48540,7,128.08209228515614,1424.6521020532655,941.2979125976564,0.31821855933595355
48540,8,117.6329345703125,1323.9098774908878,1525.9300537109375,0.6364197917259616
48540,9,205.5500946044922,2255.2982275011973,228.4322967529297,0.31742063136541265
48540,10,225.76629638671886,2622.3757175658434,715.41522216796875,0.3215999289729231
