subject,level,collection_num,choice,obj_ID,point_value,distance,turning_angle,neighbor_value,used,time
48626,6,24,64,9,2,23.023093354515314,3.5298104903935967,0.848528137423857,0,233.67230224609372
48626,6,24,64,10,2,27.38768198508674,3.432629061592961,0.8513997106635237,0,233.67230224609372
48626,6,24,64,11,1,30.558971388940876,3.3814358750407982,0.613407053921902,0,233.67230224609372
48626,6,24,64,12,4,19.592611332096652,3.489529928939718,0.848528137423857,0,233.67230224609372
48626,6,24,64,13,4,24.060189436413832,3.386076376776767,0.848528137423857,0,233.67230224609372
48626,6,24,64,14,5,16.207344323191172,3.432294225088287,0.682842712474619,0,233.67230224609372
48626,6,24,64,15,5,20.80144963496522,3.324767743598991,0.8513997106635237,0,233.67230224609372
48626,6,24,64,16,4,25.548436426159473,3.256634066385273,0.682842712474619,0,233.67230224609372
48626,6,24,64,17,5,19.856901632170157,3.1587540314730176,0.613407053921902,0,233.67230224609372
48626,6,24,64,18,1,32.44235250196163,2.2547126985531976,0.613407053921902,0,233.67230224609372
48626,6,24,64,19,2,30.26400502821543,2.342168509523537,0.8513997106635237,0,233.67230224609372
48626,6,24,64,20,4,26.379683535674406,2.230685521801973,0.682842712474619,0,233.67230224609372
48626,6,24,64,21,1,34.437367745711434,2.4274933240278074,0.682842712474619,0,233.67230224609372
48626,6,24,64,22,4,26.77835155946789,2.3629570073220303,0.848528137423857,0,233.67230224609372
48626,6,24,64,23,2,31.01777569633216,2.454970113549086,0.848528137423857,0,233.67230224609372
48626,6,24,64,24,5,20.469113715625348,2.296176914378489,0.613407053921902,0,233.67230224609372
48626,6,24,64,25,5,23.30772884982713,2.3899512417635145,0.8513997106635237,0,233.67230224609372
48626,6,24,64,26,2,27.627387155548778,2.4892221498694185,0.848528137423857,0,233.67230224609372
48626,6,24,64,27,2,32.14490345215084,2.5611456446560834,0.8513997106635237,0,233.67230224609372
48626,6,24,64,28,1,35.384465882389144,2.6004312283957742,0.613407053921902,0,233.67230224609372
48626,6,24,64,29,4,24.27843967262289,2.5329874592291324,0.848528137423857,0,233.67230224609372
48626,6,24,64,30,4,28.88710663674551,2.6062259666923357,0.848528137423857,0,233.67230224609372
48626,6,24,64,31,5,20.990777613794982,2.590603438247654,0.682842712474619,0,233.67230224609372
48626,6,24,64,32,5,25.702821668784036,2.662615878065111,0.8513997106635237,0,233.67230224609372
48626,6,24,64,33,4,30.50667695182207,2.712143022497658,0.682842712474619,0,233.67230224609372
48626,6,24,64,34,5,24.8704404107291,2.7971773650036162,0.613407053921902,0,233.67230224609372
48626,6,24,64,35,1,26.316917542883278,4.750719634778251,0.613407053921902,0,233.67230224609372
48626,6,24,64,36,2,22.905815516427367,4.782645864802492,0.8513997106635237,0,233.67230224609372
48626,6,24,64,37,4,22.24182279801101,4.562644960964822,0.682842712474619,0,233.67230224609372
48626,6,24,64,38,1,24.589715076980603,4.981344020024658,0.682842712474619,0,233.67230224609372
48626,6,24,64,39,4,19.962621886365458,4.691002546431285,0.848528137423857,0,233.67230224609372
48626,6,24,64,40,2,21.29516319901023,4.925272146549252,0.848528137423857,0,233.67230224609372
48626,6,24,64,41,5,17.49576430217474,4.36781215893104,0.613407053921902,0,233.67230224609372
48626,6,24,64,42,5,17.24343819205989,4.5691344096131585,0.8513997106635237,0,233.67230224609372
48626,6,24,64,43,2,18.09181759188037,4.849027452875434,0.848528137423857,0,233.67230224609372
48626,6,24,64,44,2,20.181465924762612,5.087311831335967,0.8513997106635237,0,233.67230224609372
48626,6,24,64,45,1,22.204187871626655,5.222346076417335,0.613407053921902,0,233.67230224609372
48626,6,24,64,46,4,15.038076734850922,4.740952960555817,0.848528137423857,0,233.67230224609372
48626,6,24,64,47,4,16.766676921135772,5.037505800801176,0.848528137423857,0,233.67230224609372
48626,6,24,64,48,5,12.24637252367643,4.580920715752741,0.682842712474619,0,233.67230224609372
48626,6,24,64,49,5,13.4145944062107,4.962536334435791,0.8513997106635237,0,233.67230224609372
48626,6,24,64,50,4,16.1223151618377,5.249339383506148,0.682842712474619,0,233.67230224609372
48626,6,24,64,51,5,10.322188653421644,5.101952488236803,0.613407053921902,0,233.67230224609372
48626,6,24,64,52,1,16.27136355775633,1.368073940287685,0.6034068236642477,0,233.67230224609372
48626,6,24,64,53,,,,,0,233.67230224609372
48626,6,24,64,54,2,12.773450454555874,1.3596915101535851,0.7685569981889047,0,233.67230224609372
48626,6,24,64,55,1,13.897436440202778,0.9919538133602381,0.682842712474619,0,233.67230224609372
48626,6,24,64,56,,,,,0,233.67230224609372
