subject,level,x,y,rotation,time
1,_level_8,-6.30248498916626,12.883569717407227,42,334.6055908203125
1,_level_8,-5.520596981048584,13.792960166931152,44,334.7056884765625
1,_level_8,-4.627656936645508,14.593239784240723,51,334.8056945800781
1,_level_8,-3.3839950561523438,15.311619758605957,66,334.9223937988281
1,_level_8,-2.199690103530884,15.137120246887207,104,335.0231018066406
1,_level_8,-1.1319730281829834,14.601329803466797,124,335.1383056640625
1,_level_8,-1.4429110288619995,13.201390266418457,200,335.2554931640625
1,_level_8,-1.986264944076538,12.134519577026367,213,335.3559875488281
1,_level_8,-2.9093589782714844,11.032779693603516,225,335.4721984863281
1,_level_8,-3.92759108543396,10.01455020904541,225,335.5888977050781
1,_level_8,-4.425273895263672,9.025707244873047,177,335.6889953613281
1,_level_8,-4.072412014007568,7.636878967285156,158,335.8045959472656
1,_level_8,-3.4676170349121094,6.603394031524658,145,335.9054870605469
1,_level_8,-2.5040719509124756,5.535685062408447,135,336.0210876464844
1,_level_8,-1.6555440425872803,4.687159061431885,135,336.1216125488281
1,_level_8,-0.8070163726806641,3.8386309146881104,135,336.2215881347656
1,_level_8,0.04151153936982155,2.990103006362915,135,336.3385925292969
1,_level_8,1.0597460269927979,1.9718689918518066,135,336.4543151855469
1,_level_8,1.9082740545272827,1.1233409643173218,135,336.5552978515625
1,_level_8,2.9265079498291016,0.10510729998350143,135,336.6719970703125
1,_level_8,3.940490961074829,-0.9172729849815369,136,336.7879943847656
1,_level_8,4.7942891120910645,-2.072784900665283,149,336.9045104980469
1,_level_8,5.307044982910156,-3.4128448963165283,166,337.0212097167969
1,_level_8,5.381153106689453,-4.608460903167725,180,337.1211853027344
1,_level_8,5.558291912078857,-5.792372226715088,166,337.2379150390625
1,_level_8,5.686707019805908,-6.977744102478027,183,337.33880615234375
1,_level_8,5.297935962677002,-8.358295440673828,204,337.4548034667969
1,_level_8,4.51173210144043,-9.557599067687988,222,337.57110595703125
1,_level_8,4.51173210144043,-9.557599067687988,222,337.6715087890625
1,_level_8,4.51173210144043,-9.557599067687988,222,337.7876892089844
1,_level_8,4.51173210144043,-9.557599067687988,222,337.88861083984375
1,_level_8,4.51173210144043,-9.557599067687988,222,338.0044860839844
1,_level_8,4.51173210144043,-9.557599067687988,222,338.1048889160156
1,_level_8,4.51173210144043,-9.557599067687988,222,338.2210998535156
1,_level_8,4.51173210144043,-9.557599067687988,222,338.3211975097656
1,_level_8,4.51173210144043,-9.557599067687988,222,338.4375
1,_level_8,4.51173210144043,-9.557599067687988,222,338.5376892089844
1,_level_8,4.51173210144043,-9.557599067687988,222,338.6542053222656
1,_level_8,4.51173210144043,-9.557599067687988,222,338.7709045410156
1,_level_8,4.51173210144043,-9.557599067687988,222,338.8866882324219
1,_level_8,4.51173210144043,-9.557599067687988,222,338.9873046875
1,_level_8,4.51173210144043,-9.557599067687988,222,339.087890625
1,_level_9,0,0,180,339.2033996582031
1,_level_9,0,0,180,339.3034973144531
1,_level_9,0,0,180,339.4036865234375
1,_level_9,0,0,180,339.51971435546875
1,_level_9,0,0,180,339.63641357421875
1,_level_9,0,0,180,339.73638916015625
1,_level_9,0,0,180,339.8529968261719
1,_level_9,0,0,180,339.9696044921875
1,_level_9,0,0,180,340.0700988769531
1,_level_9,0,0,180,340.18719482421875
1,_level_9,0,0,180,340.30340576171875
1,_level_9,0,0,180,340.41949462890625
1,_level_9,0,0,180,340.51971435546875
1,_level_9,0,0,180,340.6203918457031
1,_level_9,0,0,180,340.7367858886719
1,_level_9,0,0,180,340.85260009765625
